algorithm,vertices,edge_density,repetition_id,time_sec,cpu_time_sec,memory_before_kb,memory_after_kb,memory_diff_kb,peak_memory_kb,energy_impact_score,emissions_kg
Bellman-Ford,200,0.2,1,0.450911,2.0,133424.0,152452.0,19028.0,6.38,8579.930702,8.752943428400147e-06
Bellman-Ford,200,0.2,2,0.444832,2.078125,152460.0,152636.0,176.0,7.79,78.290432,8.322025965700645e-06
Bellman-Ford,200,0.2,3,0.487114,2.265625,152636.0,152604.0,0,6.38,0.0,7.197600018120301e-06
Bellman-Ford,400,0.3,1,5.063422,14.390625,158648.0,159748.0,1100.0,9.57,5569.76453,3.1259169311887596e-05
Bellman-Ford,400,0.3,2,5.189212,14.8125,159180.0,158956.0,0,9.57,0.0,1.8190315287221543e-05
Bellman-Ford,400,0.3,3,5.451563,17.75,158964.0,159316.0,352.0,9.57,1918.950352,3.364422280508098e-05
Bellman-Ford,600,0.4,1,14.745858,44.953125,167384.0,168204.0,820.0,11.13,12091.603888,6.26906015248393e-05
Bellman-Ford,600,0.4,2,14.067011,43.359375,168440.0,169216.0,776.0,76.63,10916.000381,5.879035029220734e-05
Bellman-Ford,600,0.4,3,13.834171,43.46875,168648.0,168192.0,0,11.13,0.0,6.144189271452783e-05
Floyd-Warshall,200,0.2,1,0.918204,3.421875,164936.0,166288.0,1352.0,331.26,1241.411402,1.0163860075386117e-05
Floyd-Warshall,200,0.2,2,0.921118,3.5625,166288.0,166116.0,0,331.26,0.0,1.0512901741654476e-05
Floyd-Warshall,200,0.2,3,0.573064,2.171875,166124.0,166524.0,400.0,331.31,229.22576,8.102776381751777e-06
Floyd-Warshall,400,0.3,1,7.286351,51.46875,167260.0,169968.0,2708.0,1347.69,19731.437154,3.828065182752569e-05
Floyd-Warshall,400,0.3,2,6.087563,47.890625,165084.0,169972.0,4888.0,1348.1,29756.007455,4.145030030590488e-05
Floyd-Warshall,400,0.3,3,7.398034,49.265625,165424.0,169972.0,4548.0,1348.61,33646.258632,4.060651995365808e-05
Floyd-Warshall,600,0.4,1,17.292841,167.671875,167296.0,176784.0,9488.0,3052.63,164074.479203,0.0001130983226443562
Floyd-Warshall,600,0.4,2,25.021069,166.984375,167240.0,176680.0,9440.0,2924.04,236198.889472,0.00011991697944373366
Floyd-Warshall,600,0.4,3,15.913048,139.59375,167268.0,177012.0,9744.0,2923.86,155056.735814,6.534922200077172e-05
Knapsack-01,200,0.0,1,0.033712,1.109375,168664.0,164960.0,0,1782.89,0.0,3.613340037718803e-06
Knapsack-01,200,0.0,2,0.033182,1.078125,165020.0,165636.0,616.0,1727.89,20.440358,3.6232829201704967e-06
Knapsack-01,200,0.0,3,0.031652,1.078125,165696.0,165516.0,0,1702.23,0.0,3.463116541776038e-06
Knapsack-01,400,0.0,1,0.151079,3.9375,168952.0,167580.0,0,7231.09,0.0,4.399261324585259e-06
Knapsack-01,400,0.0,2,0.152812,3.984375,167640.0,166572.0,0,7008.74,0.0,5.789800857373326e-06
Knapsack-01,400,0.0,3,0.15562,4.03125,166636.0,166900.0,264.0,6933.11,41.083759,4.2897328848318135e-06
Knapsack-01,600,0.0,1,0.350404,9.921875,170544.0,168008.0,0,15259.81,0.0,9.816092427803169e-06
Knapsack-01,600,0.0,2,0.359394,9.890625,165568.0,168636.0,3068.0,15370.74,1102.619258,6.530840087248763e-06
Knapsack-01,600,0.0,3,0.354904,10.0625,168640.0,168696.0,56.0,15213.46,19.874613,5.982714701125283e-06
